,"Actual",,"Model"
"Time","Value","Time","Value"
1520.59,-111.268845,1520.59,0.0
1520.6,-111.26898,1520.6,0.0
1520.61,-111.26895,1520.61,0.0
1520.62,-110.55586,1520.62,0.0
1520.63,-111.41501,1520.63,0.0
1520.64,-111.239044,1520.64,0.0
1520.65,-111.275085,1520.65,0.0
1520.6599,-111.62424,1520.6599,0.0
1520.6699,-111.55272,1520.6699,0.0
1520.6799,-111.56737,1520.6799,0.0
1520.69,-111.56438,1520.69,0.0
1520.7,-111.56499,1520.7,0.0
1520.71,-111.564865,1520.71,0.0
1520.72,-111.20834,1520.72,0.0
1520.73,-111.28137,1520.73,0.0
1520.74,-111.26642,1520.74,0.0
1520.75,-111.26947,1520.75,0.0
1520.76,-111.62538,1520.76,0.0
1520.77,-111.19595,1520.77,0.0
1520.7799,-111.283905,1520.7799,0.0
1520.7899,-110.55281,1520.7899,0.0
1520.7999,-110.702545,1520.7999,0.0
1520.8099,-111.384964,1520.8099,0.0
1520.82,-111.24519,1520.82,0.0
1520.83,-111.27382,1520.83,0.0
1520.84,-111.6245,1520.84,0.0
1520.85,-111.55267,1520.85,0.0
1520.86,-111.210846,1520.86,0.0
1520.87,-111.63739,1520.87,0.0
1520.88,-111.55003,1520.88,0.0
1520.89,-111.56792,1520.89,0.0
1520.9,-111.564255,1520.9,0.0
1520.9099,-111.565,1520.9099,0.0
1520.9199,-111.56485,1520.9199,0.0
1520.9299,-111.20834,1520.9299,0.0
1520.94,-111.63791,1520.94,0.0
1520.95,-111.19339,1520.95,0.0
1520.96,-111.28444,1520.96,0.0
1520.97,-110.55269,1520.97,0.0
1520.98,-111.415665,1520.98,0.0
1520.99,-111.23891,1520.99,0.0
1521.0,-111.275116,1521.0,0.0
1521.01,-111.62424,1521.01,0.0
1521.02,-111.55272,1521.02,0.0
1521.0299,-95.879616,1521.0299,0.0
1521.0399,-70.21004,1521.0399,0.0
1521.0499,-50.50988,1521.0499,0.0
1521.0599,-32.439384,1521.0599,0.0
1521.07,-16.530878,1521.07,0.0
1521.08,-3.0318742,1521.08,0.0
1521.09,10.141861,1521.09,0.0
1521.1,20.32481,1521.1,0.0
1521.11,30.000229,1521.11,0.0
1521.12,39.219543,1521.12,0.0
1521.13,46.852127,1521.13,0.0
1521.14,53.129547,1521.14,0.0
1521.15,59.12448,1521.15,0.0
1521.1599,64.05717,1521.1599,0.0
1521.1699,67.52727,1521.1699,0.0
1521.1799,72.41704,1521.1799,0.0
1521.19,76.45598,1521.19,0.0
1521.2,80.10914,1521.2,0.0
1521.21,83.281265,1521.21,0.0
1521.22,84.871765,1521.22,0.0
1521.23,87.34625,1521.23,0.0
1521.24,89.079636,1521.24,0.0
1521.25,90.404755,1521.25,0.0
1521.26,92.37355,1521.26,0.0
1521.27,93.65046,1521.27,0.0
1521.2799,93.948975,1521.2799,0.0
1521.2899,95.56798,1521.2899,0.0
1521.2999,96.35649,1521.2999,0.0
1521.3099,97.875145,1521.3099,0.0
1521.32,98.124146,1521.32,0.0
1521.33,99.75329,1521.33,0.0
1521.34,100.53972,1521.34,0.0
1521.35,101.49874,1521.35,0.0
1521.36,102.422424,1521.36,0.0
1521.37,102.79329,1521.37,0.0
1521.38,103.837425,1521.38,0.0
1521.39,104.183624,1521.39,0.0
1521.4,105.23281,1521.4,0.0
1521.4099,106.13802,1521.4099,0.0
1521.4199,105.952614,1521.4199,0.0
1521.4299,105.99059,1521.4299,0.0
1521.44,105.98281,1521.44,0.0
1521.45,105.984406,1521.45,0.0
1521.46,106.54414,1521.46,0.0
1521.47,105.30939,1521.47,0.0
1521.48,106.6824,1521.48,0.0
1521.49,106.401184,1521.49,0.0
1521.5,106.45877,1521.5,0.0
1521.51,106.44699,1521.51,0.0
1521.52,107.009445,1521.52,0.0
1521.5299,106.89424,1521.5299,0.0
1521.5399,107.47789,1521.5399,0.0
1521.5499,107.35835,1521.5499,0.0
1521.5599,107.38283,1521.5599,0.0
1521.57,107.93787,1521.57,0.0
1521.58,108.38425,1521.58,0.0
1521.59,108.292816,1521.59,0.0
1521.6,108.87158,1521.6,0.0
1521.61,108.19299,1521.61,0.0
1521.62,108.331985,1521.62,0.0
1521.63,108.30351,1521.63,0.0
1521.64,107.74928,1521.64,0.0
1521.65,107.86281,1521.65,0.0
1521.6599,107.27951,1521.6599,0.0
1521.6699,107.95903,1521.6699,0.0
1521.6799,107.81984,1521.6799,0.0
1521.69,107.288315,1521.69,0.0
1521.7,107.95723,1521.7,0.0
1521.71,107.82022,1521.71,0.0
1521.72,107.84828,1521.72,0.0
1521.73,107.84253,1521.73,0.0
1521.74,108.40376,1521.74,0.0
1521.75,108.84886,1521.75,0.0
1521.76,109.31775,1521.76,0.0
1521.77,109.22171,1521.77,0.0
1521.7799,108.68132,1521.7799,0.0
1521.7899,109.352066,1521.7899,0.0
1521.7999,108.65463,1521.7999,0.0
1521.8099,108.79747,1521.8099,0.0
1521.82,108.208176,1521.82,0.0
1521.83,108.32887,1521.83,0.0
1521.84,108.30415,1521.84,0.0
1521.85,107.74916,1521.85,0.0
1521.86,107.86284,1521.86,0.0
1521.87,107.839554,1521.87,0.0
1521.88,108.40437,1521.88,0.0
1521.89,108.2887,1521.89,0.0
1521.9,107.75232,1521.9,0.0
1521.9099,108.42224,1521.9099,0.0
1521.9199,108.84508,1521.9199,0.0
1521.9299,109.31853,1521.9299,0.0
1521.94,108.6615,1521.94,0.0
1521.95,109.356125,1521.95,0.0
1521.96,109.21385,1521.96,0.0
1521.97,108.68294,1521.97,0.0
1521.98,108.79167,1521.98,0.0
1521.99,108.209366,1521.99,0.0
1522.0,108.32863,1522.0,0.0
1522.01,108.3042,1522.01,0.0
1522.02,108.309204,1522.02,0.0
1522.0299,108.30818,1522.0299,0.0
1522.0399,107.74834,1522.0399,0.0
1522.0499,108.423065,1522.0499,0.0
1522.0599,108.28487,1522.0599,0.0
1522.07,108.31317,1522.07,0.0
1522.08,108.30737,1522.08,0.0
1522.09,108.86861,1522.09,0.0
1522.1,108.75365,1522.1,0.0
1522.11,109.33725,1522.11,0.0
1522.12,109.77779,1522.12,0.0
1522.13,109.12749,1522.13,0.0
1522.14,109.82074,1522.14,0.0
